,open_DE,high_DE,low_DE,close_DE,volume_DE
2024-05-24 16:09:00,372.3980,372.3980,372.3980,372.3980,2
2024-05-24 16:10:00,372.1796,372.1796,372.1796,372.1796,108950
2024-05-24 16:15:00,372.1796,372.2689,372.1796,372.2689,3
2024-05-24 16:17:00,372.4575,373.0134,372.3980,373.0134,124
2024-05-24 16:18:00,372.5171,372.5171,372.5171,372.5171,11
2024-05-24 16:28:00,372.4873,372.4873,372.4873,372.4873,1
2024-05-24 16:31:00,372.4873,372.4972,372.4873,372.4972,6
2024-05-24 16:34:00,372.7156,372.7156,372.7156,372.7156,1
2024-05-24 16:40:00,372.2491,372.4972,372.2491,372.4972,3
2024-05-24 16:44:00,371.8223,371.8223,371.8223,371.8223,7
2024-05-24 16:45:00,372.4178,372.4178,372.4178,372.4178,2
2024-05-24 16:46:00,372.4178,372.4178,372.4178,372.4178,1
2024-05-24 16:51:00,372.4972,372.4972,372.4972,372.4972,1
2024-05-24 16:52:00,372.2193,372.2193,372.2193,372.2193,2
2024-05-24 16:53:00,372.3285,372.4873,372.1796,372.4873,11
2024-05-24 16:54:00,372.2491,372.6660,372.2491,372.6660,4
2024-05-24 16:55:00,372.2590,372.2590,372.2491,372.2491,13
2024-05-24 16:57:00,371.8223,371.8223,371.8223,371.8223,2
2024-05-24 17:00:00,372.2491,372.2491,372.2491,372.2491,1
2024-05-24 17:03:00,372.6660,372.6660,372.6660,372.6660,4
2024-05-24 17:11:00,372.4873,372.4873,372.4873,372.4873,1
2024-05-24 17:13:00,372.4873,372.4873,372.4873,372.4873,5
2024-05-24 17:24:00,372.2193,372.2193,372.2193,372.2193,2
2024-05-24 17:38:00,371.8223,371.8223,371.8223,371.8223,3
2024-05-24 17:44:00,371.8223,371.8223,371.8223,371.8223,25
2024-05-24 17:52:00,371.8223,371.8223,371.8223,371.8223,10
2024-05-24 18:02:00,372.2193,372.2193,372.2193,372.2193,1
