,open_KO,high_KO,low_KO,close_KO,volume_KO
2024-08-14 05:56:00,68.0478,68.0478,68.0478,68.0478,10
2024-08-14 05:57:00,68.0578,68.0578,68.0578,68.0578,1
2024-08-14 05:59:00,68.0578,68.0578,68.0578,68.0578,1
2024-08-14 06:01:00,68.0379,68.0379,68.0379,68.0379,143
2024-08-14 06:02:00,68.0677,68.0677,68.0677,68.0677,4
2024-08-14 06:04:00,68.0677,68.0677,68.0677,68.0677,2
2024-08-14 06:05:00,68.0478,68.0578,68.0478,68.0578,2
2024-08-14 06:06:00,68.0578,68.0677,68.0578,68.0677,14
2024-08-14 06:08:00,68.0478,68.0578,68.0478,68.0578,5
2024-08-14 06:12:00,68.0379,68.0478,67.9982,68.0379,231
2024-08-14 06:13:00,68.0379,68.0379,68.0379,68.0379,2
2024-08-14 06:14:00,68.0578,68.0578,68.0578,68.0578,2
2024-08-14 06:16:00,68.0578,68.0578,68.0578,68.0578,1
2024-08-14 06:22:00,68.0379,68.0379,68.0379,68.0379,1
2024-08-14 06:23:00,68.0478,68.0478,68.0478,68.0478,1
2024-08-14 06:25:00,68.0379,68.0379,68.0379,68.0379,1
2024-08-14 06:28:00,68.0578,68.0578,68.0578,68.0578,1
2024-08-14 06:33:00,68.0280,68.0280,68.0280,68.0280,100
2024-08-14 06:41:00,68.0379,68.0379,68.0379,68.0379,10
2024-08-14 06:43:00,68.0379,68.0379,68.0379,68.0379,1
2024-08-14 06:44:00,68.0379,68.0379,68.0379,68.0379,2
2024-08-14 06:46:00,68.0379,68.0379,68.0379,68.0379,5
2024-08-14 06:50:00,67.9982,67.9982,67.9982,67.9982,20
2024-08-14 06:51:00,68.0379,68.0379,67.9982,68.0379,165
2024-08-14 06:54:00,68.0379,68.0379,68.0379,68.0379,1
2024-08-14 06:55:00,68.0280,68.0280,68.0280,68.0280,1
2024-08-14 06:57:00,68.0379,68.0379,68.0379,68.0379,1
2024-08-14 07:00:00,68.0180,68.0180,68.0180,68.0180,3
2024-08-14 07:02:00,68.0081,68.0081,67.9982,67.9982,30
2024-08-14 07:03:00,67.9982,67.9982,67.9982,67.9982,39
2024-08-14 07:04:00,67.9982,67.9982,67.9982,67.9982,29
2024-08-14 07:05:00,67.9982,67.9982,67.9982,67.9982,10
2024-08-14 07:07:00,67.9982,67.9982,67.9982,67.9982,4
2024-08-14 07:08:00,67.9982,67.9982,67.9982,67.9982,21
2024-08-14 07:09:00,67.9982,67.9982,67.9982,67.9982,1
2024-08-14 07:10:00,67.9982,67.9982,67.9982,67.9982,1
2024-08-14 07:14:00,67.9982,67.9982,67.9982,67.9982,62
2024-08-14 07:15:00,67.9882,67.9982,67.9882,67.9982,13
2024-08-14 07:16:00,67.9982,67.9982,67.9982,67.9982,5
2024-08-14 07:17:00,67.9982,67.9982,67.9982,67.9982,14
2024-08-14 07:18:00,67.9982,67.9982,67.9982,67.9982,1
2024-08-14 07:19:00,67.9882,67.9882,67.9882,67.9882,1
2024-08-14 07:20:00,67.9982,67.9982,67.9882,67.9882,5
