,open_F,high_F,low_F,close_F,volume_F
2024-04-19 07:02:00,11.6747,11.6747,11.6747,11.6747,10
2024-04-19 07:03:00,11.6649,11.6649,11.6649,11.6649,924
2024-04-19 07:04:00,11.6649,11.6649,11.6649,11.6649,100
2024-04-19 07:07:00,11.6747,11.6747,11.6747,11.6747,1
2024-04-19 07:09:00,11.6747,11.6747,11.6747,11.6747,473
2024-04-19 07:10:00,11.6747,11.6747,11.6747,11.6747,6
2024-04-19 07:11:00,11.6747,11.6747,11.6747,11.6747,16
2024-04-19 07:13:00,11.6747,11.6747,11.6747,11.6747,3
2024-04-19 07:14:00,11.6747,11.7233,11.6747,11.7038,12787
2024-04-19 07:20:00,11.7038,11.7038,11.7038,11.7038,625
2024-04-19 07:21:00,11.7038,11.7038,11.7038,11.7038,1
2024-04-19 07:24:00,11.7038,11.7038,11.7038,11.7038,404
2024-04-19 07:25:00,11.7038,11.7038,11.7038,11.7038,50
2024-04-19 07:27:00,11.7038,11.7038,11.6941,11.7038,149
2024-04-19 07:28:00,11.6941,11.6941,11.6941,11.6941,955
2024-04-19 07:29:00,11.7038,11.7038,11.7038,11.7038,500
2024-04-19 07:30:00,11.7038,11.7038,11.7038,11.7038,3
2024-04-19 07:31:00,11.7038,11.7038,11.7038,11.7038,1
2024-04-19 07:33:00,11.7233,11.7233,11.7233,11.7233,100
2024-04-19 07:37:00,11.7233,11.7233,11.7233,11.7233,20
2024-04-19 07:40:00,11.7136,11.7136,11.7136,11.7136,11
2024-04-19 07:43:00,11.7233,11.7233,11.7233,11.7233,50
2024-04-19 07:46:00,11.7233,11.7233,11.7233,11.7233,833
2024-04-19 07:48:00,11.7233,11.7233,11.7233,11.7233,9097
2024-04-19 07:52:00,11.7136,11.7136,11.7038,11.7038,673
2024-04-19 07:57:00,11.7038,11.7038,11.7038,11.7038,50
2024-04-19 08:00:00,11.6649,11.8206,11.6163,11.7233,34797
2024-04-19 08:01:00,11.7136,11.7330,11.6649,11.7330,99
