,open_JNJ,high_JNJ,low_JNJ,close_JNJ,volume_JNJ
2024-05-03 18:06:00,147.4501,147.4501,147.1744,147.1744,5
2024-05-03 18:09:00,147.1744,147.1744,147.1744,147.1744,3
2024-05-03 18:18:00,147.3123,147.3123,147.3123,147.3123,2
2024-05-03 18:27:00,147.2630,147.2630,147.2630,147.2630,1
2024-05-03 18:28:00,147.2630,147.2630,147.2630,147.2630,3
2024-05-03 18:30:00,146.9382,146.9382,146.9382,146.9382,987251
2024-05-03 18:32:00,147.4599,147.4599,147.4599,147.4599,5
2024-05-03 18:34:00,147.5387,147.6666,147.2532,147.6568,7858
2024-05-03 18:35:00,147.6568,147.6568,147.6568,147.6568,819
2024-05-03 18:36:00,147.6666,147.6666,147.6568,147.6568,207
2024-05-03 18:37:00,147.6568,147.6568,147.6568,147.6568,10
2024-05-03 18:38:00,147.6568,147.6666,147.6568,147.6666,18
2024-05-03 18:39:00,147.6962,147.6962,147.6962,147.6962,1
2024-05-03 18:41:00,147.6568,147.6568,147.6568,147.6568,2
2024-05-03 18:43:00,147.6568,147.6568,147.6568,147.6568,3
2024-05-03 18:46:00,147.6568,147.6568,147.6568,147.6568,100
2024-05-03 18:48:00,147.6568,147.6568,147.6568,147.6568,3
2024-05-03 18:49:00,147.6666,147.6666,147.6666,147.6666,15
2024-05-03 18:50:00,147.6568,147.6568,147.6568,147.6568,26
2024-05-03 18:52:00,147.6666,147.6666,147.6666,147.6666,2
2024-05-03 18:55:00,147.8537,147.8537,147.8537,147.8537,20
2024-05-03 18:59:00,147.6666,147.6666,147.6666,147.6666,2
