,open_MSFT,high_MSFT,low_MSFT,close_MSFT,volume_MSFT
2024-08-06 11:46:00,402.5030,402.7326,402.2335,402.6827,19846
2024-08-06 11:47:00,402.6627,402.9622,402.3168,402.8441,18357
2024-08-06 11:48:00,402.8625,403.1319,402.8005,403.0221,34343
2024-08-06 11:49:00,403.0121,403.6410,403.0121,403.5200,50081
2024-08-06 11:50:00,403.6010,403.7807,403.5012,403.7208,28279
2024-08-06 11:51:00,403.6609,403.8007,403.4912,403.6010,22929
2024-08-06 11:52:00,403.6410,404.0403,403.5911,403.6909,27734
2024-08-06 11:53:00,403.6510,404.1300,403.6410,403.9155,28998
2024-08-06 11:54:00,403.8905,404.1900,403.5811,403.8107,23624
2024-08-06 11:55:00,403.8713,404.1301,403.7208,403.9504,37213
2024-08-06 11:56:00,403.9804,404.2499,403.8905,404.1501,36435
2024-08-06 11:57:00,404.0103,404.1101,403.8007,403.8805,28629
2024-08-06 11:58:00,403.9305,404.0403,403.5811,403.6410,31348
2024-08-06 11:59:00,403.5511,404.0567,403.5312,404.0233,15916
2024-08-06 12:00:00,404.0403,404.3497,403.9604,404.0456,72825
2024-08-06 12:01:00,404.0153,404.3946,404.0003,404.2798,25330
2024-08-06 12:02:00,404.2798,404.4395,404.0502,404.1920,33378
2024-08-06 12:03:00,404.2100,404.3098,403.8506,403.8805,28088
2024-08-06 12:04:00,403.8406,404.1251,403.5811,404.0502,20076
2024-08-06 12:05:00,404.0303,404.0902,403.6010,404.0902,24999
2024-08-06 12:06:00,404.0802,404.0972,403.7009,404.0702,19528
2024-08-06 12:07:00,404.0502,404.1002,403.8107,403.9305,14385
2024-08-06 12:08:00,403.9305,404.1501,403.8407,404.0003,20987
2024-08-06 12:09:00,403.9332,404.2000,403.8830,403.9404,21434
2024-08-06 12:10:00,403.9005,404.1201,403.8306,403.9504,32339
2024-08-06 12:11:00,403.8805,404.3198,403.8306,404.2399,18357
2024-08-06 12:12:00,404.2000,404.2898,404.0752,404.2000,14406
2024-08-06 12:13:00,404.2359,404.3098,404.0303,404.0937,21219
2024-08-06 12:14:00,404.0826,404.2797,404.0752,404.1101,12411
2024-08-06 12:15:00,404.1401,404.5044,404.0003,404.4495,32198
2024-08-06 12:16:00,404.4196,404.6093,404.3896,404.4895,36059
2024-08-06 12:17:00,404.4994,404.7789,404.3110,404.7789,69551
2024-08-06 12:18:00,404.7964,404.8588,404.3458,404.4495,36077
2024-08-06 12:19:00,404.4096,404.5494,404.2898,404.3098,29153
2024-08-06 12:20:00,404.3497,404.5893,404.2199,404.3277,20741
2024-08-06 12:21:00,404.2599,404.3797,403.8805,403.9454,29968
2024-08-06 12:22:00,403.8306,403.9704,403.4313,403.6260,23119
2024-08-06 12:23:00,403.6410,403.6410,403.1918,403.4663,16877
2024-08-06 12:24:00,403.5112,403.5611,403.3907,403.4613,13420
2024-08-06 12:25:00,403.4563,403.5312,402.9821,403.1219,20795
2024-08-06 12:26:00,403.1219,403.2816,402.9322,403.2609,24069
2024-08-06 12:27:00,403.2716,403.4312,402.9821,403.1518,26749
2024-08-06 12:28:00,403.1618,403.3116,403.0520,403.1019,17876
2024-08-06 12:29:00,403.1568,403.3515,403.1169,403.2766,14453
2024-08-06 12:30:00,403.3315,403.5312,402.9622,403.1618,22333
2024-08-06 12:31:00,403.2172,403.4313,403.0520,403.4164,17343
2024-08-06 12:32:00,403.4164,403.5811,403.2417,403.4713,14632
2024-08-06 12:33:00,403.4713,403.5711,403.3515,403.4313,15296
2024-08-06 12:34:00,403.3914,403.4713,403.3116,403.4114,19633
2024-08-06 12:35:00,403.4014,403.4513,403.0321,403.0620,22508
2024-08-06 12:36:00,403.1359,403.2217,403.0121,403.1319,25270
2024-08-06 12:37:00,403.1419,403.1445,402.5030,402.6428,33101
2024-08-06 12:38:00,402.6827,402.8517,402.6128,402.7837,22295
2024-08-06 12:39:00,402.7825,403.0520,402.7326,403.0520,15522
2024-08-06 12:40:00,403.0820,403.1419,402.9322,402.9622,15843
2024-08-06 12:41:00,402.9522,402.9921,402.8524,402.9522,18031
2024-08-06 12:42:00,402.9622,403.2816,402.9622,403.2517,17060
