,open_XOM,high_XOM,low_XOM,close_XOM,volume_XOM
2024-06-18 13:49:00,108.3381,108.3381,108.2935,108.2935,11028
2024-06-18 13:50:00,108.2935,108.3133,108.2885,108.2936,9960
2024-06-18 13:51:00,108.2935,108.3183,108.2836,108.2985,12937
2024-06-18 13:52:00,108.2935,108.2935,108.2141,108.2340,21876
2024-06-18 13:53:00,108.2340,108.2340,108.1943,108.2300,16871
2024-06-18 13:54:00,108.2241,108.2439,108.1944,108.2241,24966
2024-06-18 13:55:00,108.2290,108.2538,108.2241,108.2340,12591
2024-06-18 13:56:00,108.2439,108.2538,108.2141,108.2290,11794
2024-06-18 13:57:00,108.2241,108.2637,108.2141,108.2241,12049
2024-06-18 13:58:00,108.2141,108.2538,108.2141,108.2439,9747
2024-06-18 13:59:00,108.2588,108.2836,108.2340,108.2340,15821
2024-06-18 14:00:00,108.2389,108.2538,108.1447,108.1546,22564
2024-06-18 14:01:00,108.1447,108.1645,108.1050,108.1447,37245
2024-06-18 14:02:00,108.1447,108.1781,108.0951,108.1050,23694
2024-06-18 14:03:00,108.1050,108.1348,108.0852,108.1298,32041
